country,aircraft,fighter/interceptor,attack_aircraft,transport_aircraft_fleet,trainer_aircraft_fleet,helicopter_fleet,attack_helicopter_fleet,tank,afv/apc,self-propelled_artillery,towed_artillery,rocket_projector,navy_fleets,aircraft_carrier_fleet,submarine_fleet,destroyer_fleet,frigate_fleet,airport_totals,available_manpower,total_population,iso,continent
Afghanistan,260,0,25,30,0,187,0,0,1062,0,176,50,0,0,0,0,0,43,14325743,34940837,AFG,Asia
Albania,19,0,0,0,0,19,0,0,467,0,0,0,38,0,0,0,0,4,1519438,3057220,ALB,Europe
Algeria,551,103,22,59,87,257,45,880,7361,320,240,316,201,0,6,0,5,157,20741263,41657488,DZA,Africa
Angola,295,72,18,30,47,126,15,379,595,28,357,115,57,0,0,0,0,176,6244205,30355880,AGO,Africa
Argentina,227,24,7,9,64,100,0,370,739,83,172,26,49,0,2,4,0,1138,20179430,44694198,ARG,South America
Australia,464,82,6,38,174,133,22,59,3051,0,54,0,48,2,6,2,8,480,10808002,23470145,AUS,Oceania
Azerbaijan,147,17,12,1,29,88,17,570,1451,187,227,162,31,0,4,0,1,37,5042346,10046516,AZE,Asia
Bahrain,109,17,0,2,37,65,22,180,843,33,26,17,39,0,0,0,1,4,806505,1422659,BHR,Asia
Bangladesh,177,44,0,11,57,67,0,276,1230,18,419,72,112,0,2,0,8,18,78913289,159453001,BGD,Asia
Belgium,148,43,0,12,64,29,0,0,984,0,0,0,17,0,0,0,2,41,4833107,11570762,BEL,Europe
Bolivia,69,0,0,14,23,38,0,54,137,0,86,0,173,0,0,0,0,855,5075416,11306341,BOL,South America
Bosnia and Herzegovina,19,0,0,0,0,19,0,320,332,24,837,143,0,0,0,0,0,24,2394632,3849891,BIH,Europe
Brazil,715,43,78,126,198,242,12,437,1820,132,565,84,112,0,6,0,7,4093,107764996,208846892,BRA,South America
Bulgaria,63,13,4,5,20,25,2,710,2000,506,350,192,29,0,0,0,4,68,3278916,7057504,BGR,Europe
Cambodia,22,0,0,5,0,17,0,263,340,0,150,570,27,0,0,0,0,16,8120963,16449519,KHM,Asia
Cameroon,29,0,0,6,6,15,0,0,222,8,61,20,64,0,0,0,0,33,9487157,25640965,CMR,Africa
Canada,385,62,0,38,135,145,0,80,1973,0,133,0,64,0,4,0,12,1467,16110865,35881659,CAN,North America
Chile,282,44,0,30,93,92,0,300,1430,48,158,10,69,0,4,0,10,481,8657902,17925262,CHL,South America
China,3210,1232,371,224,314,911,281,3500,33000,3800,3600,2650,777,2,74,36,52,507,752855402,1384688986,CHN,Asia
Colombia,469,21,38,76,80,224,0,0,595,6,110,0,453,0,11,0,4,836,24084498,48168996,COL,South America
Croatia,78,12,0,0,27,47,0,72,604,24,151,105,28,0,0,0,0,69,2088265,4270480,HRV,Europe
Cuba,80,38,0,2,26,14,4,1180,670,100,150,100,12,0,0,0,2,133,5980621,11116396,CUB,North America
Democratic Republic of the Congo,53,2,4,13,0,34,8,175,100,16,120,57,20,0,0,0,0,198,34112410,85281024,COD,Africa
Denmark,113,33,0,4,38,35,0,57,972,22,0,0,74,0,0,0,9,80,2590457,5809502,DNK,Europe
Dominican Republic,49,0,8,10,4,28,0,6,20,0,20,0,33,0,0,0,0,36,4819818,10298756,DOM,North America
Ecuador,108,9,0,22,29,50,0,232,413,15,102,26,19,0,2,0,2,432,7696551,16498502,ECU,South America
Egypt,1054,215,88,59,387,294,81,4295,11700,1139,2189,1084,316,2,8,0,7,83,42946553,99413317,EGY,Africa
El Salvador,51,0,15,2,3,31,0,0,125,0,70,0,4,0,0,0,0,68,3106010,6187271,SLV,North America
Estonia,7,0,0,2,5,4,0,0,181,18,66,0,6,0,0,0,0,18,596014,1244288,EST,Europe
Finland,194,55,0,11,105,127,0,200,2050,100,627,75,246,0,0,0,0,148,2307420,5537364,FIN,Europe
France,1229,269,0,121,187,589,62,528,6028,109,12,13,180,4,9,11,11,464,30111868,67364357,FRA,Europe
Gabon,23,6,0,2,0,15,0,0,70,0,16,0,10,0,0,0,0,44,842741,2119036,GAB,Africa
Georgia,66,0,10,2,12,38,9,143,950,69,133,51,9,0,0,0,0,22,2249744,4926087,GEO,Asia
Germany,712,128,74,71,26,386,56,245,4583,108,0,38,80,0,6,0,9,539,37010559,80457737,DEU,Europe
Ghana,24,0,0,3,6,13,0,0,150,0,0,0,20,0,0,0,0,10,12561805,28102471,GHA,Africa
Greece,566,187,0,15,143,231,29,1355,3691,547,463,152,116,0,11,0,13,77,4993347,10761523,GRC,Europe
Guatemala,33,0,4,8,6,15,0,12,135,0,106,0,26,0,0,0,0,291,7063622,16581273,GTM,North America
Honduras,46,3,9,11,10,12,0,19,92,0,176,0,59,0,0,0,0,103,4104696,9182766,HND,North America
India,2123,538,172,250,359,722,23,4292,8686,235,4060,266,285,1,16,10,13,346,622480340,1296834042,IND,Asia
Indonesia,462,41,39,54,109,177,16,313,1178,153,366,36,282,0,5,0,7,673,130868127,262787403,IDN,Asia
Iran,509,155,23,62,94,100,12,2056,4300,570,2088,1935,398,0,34,0,7,319,47324105,83024745,IRN,Asia
Iraq,348,26,33,16,102,186,40,309,4739,44,120,30,60,0,0,0,0,102,16399240,40194216,IRQ,Asia
Ireland,19,0,0,0,8,8,0,0,124,0,0,0,8,0,0,0,0,40,2366779,5068050,IRL,Europe
Israel,589,259,18,15,154,146,48,2760,10275,650,300,100,65,0,5,0,0,47,3647983,8424904,ISR,Asia
Italy,860,99,110,38,185,439,59,200,6947,54,108,21,249,2,8,4,12,129,28011003,62246674,ITA,Europe
Ivory Coast,8,0,0,4,0,4,3,15,109,0,7,6,10,0,0,0,0,27,11160747,26260582,CIV,Africa
Japan,1561,279,12,60,427,637,119,1004,3130,238,500,99,155,4,20,40,0,175,53873803,126168156,JPN,Asia
Jordan,278,44,4,16,75,146,47,1313,2897,461,72,88,37,0,0,0,0,18,3346692,10458413,JOR,Asia
