country,aircraft_strength,fighter/interceptor_strength,attack_aircraft_strength,transport_aircraft_fleet_strength,trainer_aircraft_fleet,helicopter_fleet_strength,attack_helicopter_fleet_strength,tank_strength,afv/apc_strength,self-propelled_artillery_strength,towed_artillery_strength,rocket_projector_strength,navy_fleet_strengths,aircraft_carrier_fleet_strength,submarine_fleet_strength,destroyer_fleet_strength,frigate_fleet_strength,defense_spending_budget,external_debt,airport_totals,oil_production,oil_consumption,proven_oil_reserves,available_manpower,total_population,total_square_land_area,total_coastline_coverage,total_waterway_coverage,total_border_coverage,iso
Afghanistan,260,0,25,30,0,187,0,0,1062,0.0,176.0,50.0,0.0,0.0,0.0,0.0,0.0,12000000000.0,2840000000.0,43.0,,,,14325743.0,34940837.0,652230.0,0.0,1200.0,5987.0,AFG
Albania,19,0,0,0,0,19,0,0,467,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,250000000.0,9505000000.0,4.0,,,168300000.0,1519438.0,3057220.0,,362.0,41.0,691.0,ALB
Algeria,551,103,22,59,87,257,45,880,7361,320.0,240.0,316.0,201.0,0.0,6.0,0.0,5.0,13000000000.0,6260000000.0,157.0,1306000.0,325000.0,12200000000.0,20741263.0,41657488.0,2381741.0,998.0,0.0,6734.0,DZA
Angola,295,72,18,30,47,126,15,379,595,28.0,357.0,115.0,57.0,0.0,0.0,0.0,0.0,7000000000.0,42080000000.0,176.0,1666000.0,,8273000000.0,6244205.0,30355880.0,1246700.0,1600.0,1300.0,5369.0,AGO
Argentina,227,24,7,9,64,100,0,370,739,83.0,172.0,26.0,49.0,0.0,2.0,4.0,0.0,4200000000.0,214900000000.0,1138.0,479400.0,685000.0,2185000000.0,20179430.0,44694198.0,2780400.0,4989.0,11000.0,11968.0,ARG
Azerbaijan,147,17,12,1,29,88,17,570,1451,187.0,227.0,162.0,31.0,0.0,4.0,0.0,1.0,2805000000.0,17410000000.0,37.0,789300.0,180000.0,7000000000.0,5042346.0,10046516.0,,713.0,0.0,2468.0,AZE
Bangladesh,177,44,0,11,57,67,0,276,1230,18.0,419.0,72.0,112.0,0.0,2.0,0.0,8.0,3800000000.0,50260000000.0,18.0,,112000.0,28000000.0,78913289.0,159453001.0,143998.0,580.0,8370.0,4413.0,BGD
Belgium,148,43,0,12,64,29,0,0,984,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,4921000000.0,1281000000000.0,41.0,,645000.0,,4833107.0,11570762.0,,67.0,2043.0,1297.0,BEL
Bosnia and Herzegovina,19,0,0,0,0,19,0,320,332,24.0,837.0,143.0,0.0,0.0,0.0,0.0,0.0,165000000.0,10870000000.0,24.0,,,,2394632.0,3849891.0,,20.0,0.0,1543.0,BIH
Brazil,715,43,78,126,198,242,12,437,1820,132.0,565.0,84.0,112.0,0.0,6.0,0.0,7.0,27800000000.0,547400000000.0,4093.0,2622000.0,3020000.0,13000000000.0,107764996.0,208846892.0,8514877.0,7491.0,50000.0,16145.0,BRA
Bulgaria,63,13,4,5,20,25,2,710,2000,506.0,350.0,192.0,29.0,0.0,0.0,0.0,4.0,1079000000.0,42060000000.0,68.0,,115000.0,15000000.0,3278916.0,7057504.0,110880.0,354.0,470.0,1806.0,BGR
Cambodia,22,0,0,5,0,17,0,263,340,0.0,150.0,570.0,27.0,0.0,0.0,0.0,0.0,604000000.0,11870000000.0,16.0,,,,8120963.0,16449519.0,181035.0,443.0,3700.0,2530.0,KHM
Cameroon,29,0,0,6,6,15,0,0,222,8.0,61.0,20.0,64.0,0.0,0.0,0.0,0.0,347000000.0,9375000000.0,33.0,,,200000000.0,9487157.0,25640965.0,475440.0,400.0,0.0,5018.0,CMR
Canada,385,62,0,38,135,145,0,80,1973,0.0,133.0,0.0,64.0,0.0,4.0,0.0,12.0,22500000000.0,1608000000000.0,1467.0,3977000.0,2500000.0,169700000000.0,16110865.0,35881659.0,9984670.0,"2,02,080",636.0,8893.0,CAN
Chile,282,44,0,30,93,92,0,300,1430,48.0,158.0,10.0,69.0,0.0,4.0,0.0,10.0,4250000000.0,183400000000.0,481.0,,325000.0,150000000.0,8657902.0,17925262.0,756102.0,6435.0,12290.0,7801.0,CHL
China,3210,1232,371,224,314,911,281,3500,33000,3800.0,3600.0,2650.0,777.0,2.0,74.0,36.0,52.0,237000000000.0,1598000000000.0,507.0,3838000.0,13500000.0,25620000000.0,752855402.0,1384688986.0,9596961.0,14500.0,"1,10,000",22457.0,CHN
Colombia,469,21,38,76,80,224,0,0,595,6.0,110.0,0.0,453.0,0.0,11.0,0.0,4.0,10600000000.0,124600000000.0,836.0,853600.0,300000.0,2002000000.0,24084498.0,48168996.0,1138910.0,3208.0,24725.0,6672.0,COL
Croatia,78,12,0,0,27,47,0,72,604,24.0,151.0,105.0,28.0,0.0,0.0,0.0,0.0,800000000.0,48100000000.0,69.0,,,71000000.0,2088265.0,4270480.0,,5835.0,785.0,2237.0,HRV
Cuba,80,38,0,2,26,14,4,1180,670,100.0,150.0,100.0,12.0,0.0,0.0,0.0,2.0,500000000.0,30060000000.0,133.0,,152000.0,124000000.0,5980621.0,11116396.0,110860.0,3735.0,240.0,29.0,CUB
Democratic Republic of the Congo,53,2,4,13,0,34,8,175,100,16.0,120.0,57.0,20.0,0.0,0.0,0.0,0.0,100000000.0,4963000000.0,198.0,,,180000000.0,34112410.0,85281024.0,2344858.0,37.0,15000.0,10481.0,COD
Denmark,113,33,0,4,38,35,0,57,972,22.0,0.0,0.0,74.0,0.0,0.0,0.0,9.0,4760000000.0,484800000000.0,80.0,137100.0,162000.0,490600000.0,2590457.0,5809502.0,,7314.0,400.0,140.0,DNK
Dominican Republic,49,0,8,10,4,28,0,6,20,0.0,20.0,0.0,33.0,0.0,0.0,0.0,0.0,760000000.0,29160000000.0,36.0,,125000.0,,4819818.0,10298756.0,,1288.0,350.0,376.0,DOM
Ecuador,108,9,0,22,29,50,0,232,413,15.0,102.0,26.0,19.0,0.0,2.0,0.0,2.0,2500000000.0,39290000000.0,432.0,531300.0,282000.0,8273000000.0,7696551.0,16498502.0,283560.0,2237.0,1500.0,2237.0,ECU
Egypt,1054,215,88,59,387,294,81,4295,11700,1139.0,2189.0,1084.0,316.0,2.0,8.0,0.0,7.0,11200000000.0,77470000000.0,83.0,589400.0,832000.0,4400000000.0,42946553.0,99413317.0,1001450.0,2450.0,3500.0,2612.0,EGY
El Salvador,51,0,15,2,3,31,0,0,125,0.0,70.0,0.0,4.0,0.0,0.0,0.0,0.0,167000000.0,15510000000.0,68.0,,,,3106010.0,6187271.0,,307.0,0.0,590.0,SLV
Estonia,7,0,0,2,5,4,0,0,181,18.0,66.0,0.0,6.0,0.0,0.0,0.0,0.0,685000000.0,19050000000.0,18.0,,,,596014.0,1244288.0,,3794.0,335.0,657.0,EST
Finland,194,55,0,11,105,127,0,200,2050,100.0,627.0,75.0,246.0,0.0,0.0,0.0,0.0,3570000000.0,150600000000.0,148.0,,205000.0,,2307420.0,5537364.0,338145.0,1250.0,7842.0,2563.0,FIN
France,1229,269,0,121,187,589,62,528,6028,109.0,12.0,13.0,180.0,4.0,9.0,11.0,11.0,41500000000.0,5360000000000.0,464.0,,1600000.0,72350000.0,30111868.0,67364357.0,643801.0,4853.0,8501.0,4072.0,FRA
Gabon,23,6,0,2,0,15,0,0,70,0.0,16.0,0.0,10.0,0.0,0.0,0.0,0.0,83000000.0,6490000000.0,44.0,198800.0,,2000000000.0,842741.0,2119036.0,267667.0,885.0,1600.0,3261.0,GAB
Georgia,66,0,10,2,12,38,9,143,950,69.0,133.0,51.0,9.0,0.0,0.0,0.0,0.0,327000000.0,16990000000.0,22.0,,,35000000.0,2249744.0,4926087.0,,310.0,4349.0,1814.0,GEO
Germany,712,128,74,71,26,386,56,245,4583,108.0,0.0,38.0,80.0,0.0,6.0,0.0,9.0,50000000000.0,5326000000000.0,539.0,,2500000.0,145400000.0,37010559.0,80457737.0,357022.0,2389.0,7467.0,3694.0,DEU
Ghana,24,0,0,3,6,13,0,0,150,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,710000000.0,22140000000.0,10.0,151000.0,,660000000.0,12561805.0,28102471.0,238533.0,539.0,1293.0,2420.0,GHA
Greece,566,187,0,15,143,231,29,1355,3691,547.0,463.0,152.0,116.0,0.0,11.0,0.0,13.0,4844000000.0,506600000000.0,77.0,,350000.0,10000000.0,4993347.0,10761523.0,131957.0,13676.0,6.0,1110.0,GRC
Guatemala,33,0,4,8,6,15,0,12,135,0.0,106.0,0.0,26.0,0.0,0.0,0.0,0.0,240000000.0,22920000000.0,291.0,,,83070000.0,7063622.0,16581273.0,108889.0,400.0,990.0,1667.0,GTM
Honduras,46,3,9,11,10,12,0,19,92,0.0,176.0,0.0,59.0,0.0,0.0,0.0,0.0,205000000.0,8625000000.0,103.0,,,,4104696.0,9182766.0,112090.0,832.0,465.0,1575.0,HND
India,2123,538,172,250,359,722,23,4292,8686,235.0,4060.0,266.0,285.0,1.0,16.0,10.0,13.0,61000000000.0,501600000000.0,346.0,733900.0,5000000.0,4621000000.0,622480340.0,1296834042.0,3287263.0,7000.0,14500.0,13888.0,IND
Indonesia,462,41,39,54,109,177,16,313,1178,153.0,366.0,36.0,282.0,0.0,5.0,0.0,7.0,7600000000.0,344400000000.0,673.0,801700.0,1630000.0,3230000000.0,130868127.0,262787403.0,1904569.0,54716.0,21579.0,2958.0,IDN
Iran,509,155,23,62,94,100,12,2056,4300,570.0,2088.0,1935.0,398.0,0.0,34.0,0.0,7.0,19600000000.0,7995000000.0,319.0,4469000.0,2000000.0,158400000000.0,47324105.0,83024745.0,1648195.0,2440.0,850.0,5894.0,IRN
Iraq,348,26,33,16,102,186,40,309,4739,44.0,120.0,30.0,60.0,0.0,0.0,0.0,0.0,1730000000.0,73020000000.0,102.0,4454000.0,825000.0,142500000000.0,16399240.0,40194216.0,438317.0,58.0,5279.0,3809.0,IRQ
Ireland,19,0,0,0,8,8,0,0,124,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,870000000.0,2470000000000.0,40.0,,145000.0,,2366779.0,5068050.0,,1448.0,956.0,443.0,IRL
Israel,589,259,18,15,154,146,48,2760,10275,650.0,300.0,100.0,65.0,0.0,5.0,0.0,0.0,20000000000.0,88660000000.0,47.0,,250000.0,12730000.0,3647983.0,8424904.0,,273.0,0.0,1068.0,ISR
Italy,860,99,110,38,185,439,59,200,6947,54.0,108.0,21.0,249.0,2.0,8.0,4.0,12.0,27800000000.0,2444000000000.0,129.0,,1300000.0,556700000.0,28011003.0,62246674.0,301340.0,7600.0,2400.0,1836.0,ITA
Ivory Coast,8,0,0,4,0,4,3,15,109,0.0,7.0,6.0,10.0,0.0,0.0,0.0,0.0,550000000.0,13070000000.0,27.0,,,100000000.0,11160747.0,26260582.0,322463.0,515.0,980.0,3458.0,CIV
Jordan,278,44,4,16,75,146,47,1313,2897,461.0,72.0,88.0,37.0,0.0,0.0,0.0,0.0,2600000000.0,29340000000.0,18.0,,110000.0,1000000.0,3346692.0,10458413.0,,26.0,540.0,1744.0,JOR
Kazakhstan,222,76,39,18,18,71,18,650,800,0.0,300.0,100.0,15.0,0.0,0.0,0.0,0.0,4000000000.0,167500000000.0,96.0,1777000.0,245000.0,30000000000.0,8585003.0,18744548.0,2724900.0,26.0,0.0,13364.0,KAZ
Kenya,150,17,0,20,32,79,0,76,479,30.0,25.0,0.0,19.0,0.0,0.0,0.0,0.0,121000000.0,27590000000.0,197.0,,,,19600998.0,48397527.0,580367.0,536.0,0.0,3457.0,KEN
Kuwait,85,27,0,2,13,40,16,367,745,98.0,0.0,27.0,38.0,0.0,0.0,0.0,0.0,6831000000.0,47240000000.0,7.0,2753000.0,345000.0,101500000000.0,1641971.0,2916467.0,,499.0,0.0,475.0,KWT
Latvia,5,0,0,0,12,5,0,0,303,47.0,20.0,0.0,18.0,0.0,0.0,0.0,0.0,724000000.0,40020000000.0,42.0,,,,840595.0,1923559.0,,498.0,300.0,1370.0,LVA
Lebanon,70,0,9,0,0,55,0,366,2228,12.0,374.0,30.0,57.0,0.0,0.0,0.0,0.0,2500000000.0,39300000000.0,8.0,,110000.0,,2135026.0,6100075.0,,225.0,170.0,484.0,LBN
Liberia,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000000.0,1036000000.0,29.0,,,,2226923.0,4809768.0,111369.0,579.0,0.0,1667.0,LBR
